Year,Month,Stations,prec,tmax,tmin,Region
2019.0,Month_8,fairfield,73.66,27.31,15.34,southeast
2019.0,Month_9,fairfield,195.34,26.13,14.92,southeast
2020.0,Month_1,fairfield,63.52,0.81,-6.72,southeast
2020.0,Month_10,fairfield,46.49,13.67,2.6,southeast
2020.0,Month_11,fairfield,79.76,12.22,1.07,southeast
2020.0,Month_12,fairfield,63.76,2.71,-4.68,southeast
2020.0,Month_2,fairfield,8.14,2.34,-6.39,southeast
2020.0,Month_3,fairfield,81.81,9.35,0.52,southeast
2020.0,Month_4,fairfield,61.23,14.23,2.2,southeast
2020.0,Month_5,fairfield,136.42,19.23,8.84,southeast
2020.0,Month_6,fairfield,183.4,27.85,16.3,southeast
2020.0,Month_7,fairfield,95.51,29.53,19.42,southeast
2020.0,Month_8,fairfield,8.9,29.2,15.57,southeast
2020.0,Month_9,fairfield,131.07,22.91,9.67,southeast
2021.0,Month_1,fairfield,56.14,0.27,-5.48,southeast
2021.0,Month_10,fairfield,144.29,19.32,9.55,southeast
2021.0,Month_11,fairfield,15.25,10.36,-0.65,southeast
2021.0,Month_12,fairfield,20.84,8.22,-3.33,southeast
2021.0,Month_2,fairfield,26.17,-5.3,-12.4,southeast
2021.0,Month_3,fairfield,70.87,11.16,0.91,southeast
2021.0,Month_4,fairfield,106.44,15.07,3.83,southeast
2021.0,Month_5,fairfield,123.7,19.96,9.62,southeast
2021.0,Month_6,fairfield,162.82,28.3,16.61,southeast
2021.0,Month_7,fairfield,130.31,28.39,18.46,southeast
2021.0,Month_8,fairfield,8.14,29.64,18.1,southeast
2021.0,Month_9,fairfield,53.34,27.1,14.07,southeast
2022.0,Month_1,fairfield,33.79,-3.11,-14.96,southeast
2022.0,Month_10,fairfield,38.87,18.56,4.13,southeast
2022.0,Month_11,fairfield,92.21,10.56,-0.8,southeast
2022.0,Month_12,fairfield,34.05,1.31,-8.26,southeast
2022.0,Month_2,fairfield,9.66,2.96,-9.79,southeast
2022.0,Month_3,fairfield,97.8,10.67,-1.56,southeast
2022.0,Month_4,fairfield,73.68,13.51,2.85,southeast
2022.0,Month_5,fairfield,75.2,23.01,12.51,southeast
2022.0,Month_6,fairfield,61.48,29.02,16.96,southeast
2022.0,Month_7,fairfield,32.27,30.09,19.09,southeast
2022.0,Month_8,fairfield,35.82,30.22,17.78,southeast
2022.0,Month_9,fairfield,103.64,26.02,13.52,southeast
